time,sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_sitting
1652892783955.4,92.3,39.3,-0.4,x
1652892783971.4,92.1,39.2,-0.4,x
1652892783988.9,91.9,39.1,-0.4,x
1652892784005.4,91.6,39,-0.3,x
1652892784022.4,91.3,38.9,-0.1,x
1652892784039.4,91.1,38.9,0.1,x
1652892784056,90.7,38.8,0.3,x
1652892784072.1,90.5,38.8,0.4,x
1652892784088,90.3,38.7,0.5,x
1652892784104.7,90,38.5,0.7,x
1652892784122.1,89.9,38.3,0.8,x
1652892784138,89.7,38,1.1,x
1652892784155.4,89.6,37.9,1.2,x
1652892784172.6,89.6,37.6,1.3,x
1652892784188.5,89.6,37.4,1.3,x
1652892784205.8,89.7,37.2,1.3,x
1652892784222.8,89.9,37,1.3,x
1652892784238.7,90,36.9,1.3,x
1652892784254.6,90.3,36.9,1,x
1652892784272.8,90.7,37,0.7,x
1652892784289.8,91,37.1,0.3,x
1652892784305.4,91.2,37.2,0.1,x
1652892784321.3,91.3,37.2,0,x
1652892784338.7,91.5,37.3,-0.3,x
1652892784406.5,91.3,37.2,-0.2,x
1652892784421.3,91.2,37.1,-0.2,x
1652892784438.1,91.1,37.1,-0.1,x
1652892784455.7,90.9,36.9,0,x
1652892784472.1,90.7,36.7,0.2,x
1652892784488.1,90.5,36.6,0.4,x
1652892784523.5,90.4,36.6,0.6,x
1652892784554.8,90.4,36.6,0.5,x
1652892784622.9,90.6,36.7,0.3,x
1652892784639.2,90.6,36.7,0.1,x
1652892784654.7,90.7,36.7,-0.1,x
1652892784671.4,90.8,36.8,-0.2,x
1652892784721.3,90.7,36.7,-0.2,x
1652892784757.5,90.6,36.6,-0.2,x
