time,sensor_x0[undefined],sensor_alpha[undefined],sensor_beta[undefined],sensor_y0[undefined],sensor_x[undefined],sensor_gamma[undefined],sensor_y[undefined],sensor_z0[undefined],sensor_z[undefined],label_activities_sitting
1652785666507.6,0,9.5,-13.6,0,0.9,5.2,7.1,-0.2,6.7,x
1652785666524.2,0.1,6.2,-6.9,0.1,1,4,7.2,-0.2,6.6,x
1652785666540.9,0.2,2.9,0.6,0.1,1.1,3.5,7.2,-0.2,6.6,x
1652785666557.6,0.4,1.2,5.7,0.1,1.3,2.8,7.2,-0.2,6.6,x
1652785666574.2,0.4,1.2,5.7,0,1.2,2.8,7.1,-0.2,6.6,x
1652785666590.9,0.2,-0.1,5.5,0,1,-0.7,7.1,-0.2,6.7,x
1652785666607.5,0.1,-1.7,6.5,0,0.9,-1.6,7.1,-0.1,6.7,x
1652785666624.2,0,-1.7,6.5,0,0.8,-1.6,7.1,0,6.9,x
1652785666641,-0.1,-2.2,7.9,0,0.7,-1.1,7.1,0.1,7,x
1652785666657.6,-0.2,-0.4,7.7,0,0.6,-0.1,7.1,0.2,7.1,x
1652785666674.3,-0.2,-0.4,7.7,0,0.6,-0.1,7.1,0.2,7.1,x
1652785666693.5,-0.1,1.1,6.2,0,0.7,1,7.2,0,6.8,x
1652785666707.6,0,0.9,0.9,0.1,0.8,1.8,7.1,-0.2,6.7,x
1652785666724.2,0.1,0.2,-0.7,-0.1,0.9,1.4,7,-0.1,6.7,x
1652785666741.3,0.1,0.2,-0.7,-0.1,0.8,1.4,7.1,-0.1,6.7,x
1652785666757.6,0,-3.3,-0.9,0,0.8,1.2,7.1,-0.1,6.8,x
1652785666774.5,0,-3.4,0.5,0,0.8,1.2,7,0.1,7,x
1652785666790.9,0,-3.4,0.5,0,0.8,1.2,7,0.2,7,x
1652785666807.7,0,-2,0.9,0.1,0.8,0.6,7.1,0.2,7,x
1652785666824.5,0,1.3,2.8,0,0.8,0.2,7.1,0.1,6.9,x
1652785666840.9,-0.1,0.4,3.5,0,0.7,0.5,7,-0.1,6.7,x
1652785666857.9,0,0.4,3.5,0,0.8,0.5,7,-0.1,6.7,x
1652785666874.5,0.1,-2.3,0.1,-0.1,0.9,0,7,-0.1,6.7,x
1652785666890.9,0.2,-2.6,0.3,0,1,-1.2,7.1,-0.1,6.8,x
1652785666907.6,0.2,-2.6,0.3,0.1,1,-1.2,7.1,0,6.8,x
1652785666924.2,0.2,-2.4,1.8,0.1,0.8,-3,7.1,0.1,6.9,x
1652785666941.2,0.2,-2.3,6.4,0,1.1,-5.3,7,0,6.8,x
1652785666957.6,0.3,-3.2,8.1,0,1,-8.2,7.1,-0.2,6.7,x
1652785666974.2,0,-3.2,8.1,0.1,0.6,-8.2,7.1,-0.2,6.8,x
1652785666990.8,-0.2,-3.5,13.6,0,0.7,-7.7,7,0.2,7.2,x
1652785667007.9,0.1,-3.5,13.6,-0.1,0.7,-7.7,7,0.4,7.2,x
1652785667024.5,0.3,-0.8,12.9,0,1,-9.7,7,0.2,7.2,x
1652785667041.1,-0.1,1.9,14.9,0,0.2,-11.9,7.1,0,6.9,x
1652785667057.9,-0.5,2.4,18.8,0,0,-8.9,7,0,6.9,x
1652785667074.2,-0.4,2.4,18.8,-0.1,0,-8.9,7,0,6.9,x
1652785667091,-0.1,3.9,20.9,0,0.2,-7.5,7,0.3,7.1,x
1652785667107.5,-0.3,10.7,24.4,0.1,0,-5.8,7.1,0.4,7.2,x
1652785667124.2,-0.1,11.5,17.9,-0.1,0.1,-4.7,7,0,6.8,x
1652785667140.9,0,11.5,17.9,-0.1,0.1,-4.7,7,-0.3,6.8,x
1652785667157.5,0.2,9.3,12.3,-0.1,0.4,-4.6,7,-0.5,6.3,x
1652785667174.6,0.1,1.2,9.9,0,0.2,-6.2,7.2,-0.5,6.4,x
1652785667190.9,0.1,-1.2,15.9,0,0.1,-3.9,7.1,-0.2,6.7,x
1652785667207.5,0.1,-1.2,15.9,0,0.1,-3.9,7.1,0.1,6.7,x
1652785667224.4,0.2,1.2,28,0,0.1,-3,7.2,0.8,7.8,x
