time,sensor_x0[undefined],sensor_y0[undefined],sensor_z0[undefined],sensor_x[undefined],sensor_y[undefined],sensor_z[undefined],sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_standing
1655202436718.6,0.2,0,-0.2,-0.2,3.9,8.7,0.5,0.3,-3.7,x
1655202436741.6,0,0,-0.2,-0.4,4,8.7,-1.4,0.3,-3.8,x
1655202436751.6,0,0,-0.2,-0.4,3.9,8.8,-2.5,-0.2,-3.3,x
1655202436768.2,-0.1,0,0,-0.5,3.9,8.9,-4.6,-1.2,-2.4,x
1655202436785.1,-0.1,0,0.2,-0.5,4,9.2,-5.4,-1.6,-1.6,x
1655202436801.9,-0.2,0,0.3,-0.5,4,9.3,-5,-1.6,-1.2,x
1655202436818.6,-0.4,0,0.4,-0.7,3.9,9.4,-3.4,-0.5,-0.7,x
1655202436834.9,-0.3,0,0.5,-0.7,3.9,9.5,-2,-0.6,-0.1,x
1655202436851.6,-0.3,0.1,0.4,-0.7,4,9.4,-0.9,-0.9,-0.1,x
1655202436869.1,-0.2,0.2,0.3,-0.6,4.1,9.3,2.3,-1.3,0.3,x
1655202436885.6,-0.2,0.2,0.1,-0.6,4.1,9.1,4.4,-0.2,1.3,x
1655202436901.4,-0.2,0.2,0,-0.6,4.1,9,4.2,0.7,2.3,x
1655202436920.8,-0.2,0.1,0,-0.6,4,9,1,-0.5,4.4,x
1655202436934.9,0,0.1,0.1,-0.4,4,9.1,0.5,-3.9,5.9,x
1655202436951.5,0,0.1,0,-0.3,4,9,2.1,-4.2,6.5,x
1655202436968.3,0.3,0.1,-0.2,0,4,8.8,4.4,-1.3,6.4,x
1655202436985.3,0.3,-0.1,-0.3,0,3.9,8.7,3.3,2,4.7,x
1655202437001.6,0.3,-0.1,-0.3,0,3.9,8.7,1.6,2.3,3.9,x
1655202437018.2,0.1,-0.1,0,-0.2,3.9,9,-2.3,-2.2,2.3,x
1655202437035.4,0.3,0.1,0.3,0,4,9.2,-3,-3.4,2.9,x
1655202437070.1,0.1,-0.1,0.5,-0.2,3.9,9.5,-0.1,-1.1,0,x
1655202437071.2,0.1,-0.1,0.5,-0.2,3.9,9.5,-0.1,-1.1,0,x
1655202437086.9,-0.2,-0.1,0.6,-0.5,3.8,9.6,3.6,-1.9,-2.3,x
1655202437101.3,-0.3,0,0.3,-0.6,4,9.3,8.4,-3.3,-2.4,x
1655202437119.2,-0.3,0.1,0.2,-0.5,4,9.1,9.6,-3.3,-1.7,x
1655202437134.7,-0.2,0.1,-0.2,-0.5,4.1,8.8,8.8,-3.5,-0.1,x
1655202437151.7,-0.3,0.1,-0.2,-0.5,4.1,8.7,5.6,-4.8,0.1,x
1655202437168,-0.3,0,-0.2,-0.5,4.1,8.7,4.4,-5.3,0.5,x
1655202437184.7,-0.3,0,-0.1,-0.6,4,8.8,3,-4.5,1.1,x
1655202437201.9,-0.4,0,-0.1,-0.6,4.1,8.9,3.2,-3.5,1.9,x
1655202437218.2,-0.4,0,-0.1,-0.6,4.1,8.8,4,-3,2.2,x
